編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
35,寶山【吉韻】全新二房+平面車位,,新竹縣寶山鄉寶新路一段101-149號,寶山鄉,1500,42.53,3-3/7,0.9,35.270,有車位
36,百達翡麗百達翡麗四改三 視野遼闊大三房+雙車位,,新竹市香山區經國路三段002-050號,香山區,1988,42.21,8-8/13,18.5,55.130,有車位/含車位15.140坪
37,【台科晶品】兩房價買視野三房+雙車位,,新竹縣竹北市福興一路002-050號,竹北市,1850,36.25,6-6/15,15.4,51.030,有車位
38,雲冠天下平面車位56號,,新竹市東區中央路355巷002-050號,東區,155,0.92,-4--4/13,23.2,5.480,有車位/含車位0.020坪
39,雲冠天下車位-35號,,新竹市東區中央路355巷002-050號,東區,145,-0.93,-4--4/13,23.2,5.400,有車位/含車位0.020坪
40,專任護城河美套房,,新竹市北區勝利路002-050號,北區,588.3,42.42,7-7/10,35,13.870,無車位
41,中華大學美套房,,新竹市香山區至善街37巷002-050號,香山區,168,18.94,3-3/4,28.7,8.870,無車位
42,竹光運動中心旁愛菲爾高樓景觀三房稀有平面車位,,新竹市北區竹光路351-399號,北區,1168,26.95,10-10/20,30.7,43.340,有車位
43,專任~學府路八大學區輕鬆首購宅/挑戰全區最低價,,新竹市東區園後街002-050號,東區,1148,20.08,7-7/7,31.6,57.160,有車位
44,專任－春福藍芽｜景觀次頂樓3房+平車屋況優價可談,,新竹市東區高翠路160巷152-200號,東區,1480,43.88,4-4/5,25.8,39.980,有車位/含車位9.670坪
45,屋主認賠！市場最低價『富來新苑』三房平車,,新竹縣湖口鄉德和路10巷052-100號,湖口鄉,1008,25.00,10-10/13,0.8,41.860,有車位/含車位7.540坪
46,湳雅大全聯大魯閣1+2樓美住店+平面車位,,新竹市北區湳雅街201-249號,北區,1370,31.55,1-2/5,29.3,43.420,有車位
47,【專任】工業區．營區．竹九低總價朝南透天,,新竹縣湖口鄉國華街002-050號,湖口鄉,550,17.96,1-3/3,未提供,30.630,無車位
48,香山自由大道景觀四房平車,,新竹市香山區中華路四段252-300號,香山區,2020,38.33,10-10/12,10.9,58.450,有車位/含車位9.660坪
49,獨家【瑪奇朵】樹林頭邊間樓中樓2+1室+休旅車位,,新竹市北區東大路二段551-599號,北區,1040,32.79,2-2/9,11.7,29.640,有車位/含車位2.500坪
50,【I-Park】高鐵區稀有邊間採光視野戶,,新竹縣竹北市六家五路二段202-250號,竹北市,2330,55.19,8-8/15,16.9,49.220,有車位/含車位9.720坪
51,專任-高鐵【好FUN】外棟朝南大套房平車,,新竹縣竹北市隘口六街151-199號,竹北市,1088,45.76,6-6/9,18.3,32.470,有車位/含車位11.970坪
52,竹東稀有下公館大面寬店面,,新竹縣竹東鎮中豐路二段201-249號,竹東鎮,1900,30.25,1-3/3,31.9,62.800,無車位
53,高鐵大城有德景觀視野雙主臥大4房,,新竹縣竹北市光明六路東二段102-150號,竹北市,4900,66.04,9-9/19,10.4,89.700,有車位/含車位20.050坪
54,御花園翻新三房+平車,,新竹縣竹東鎮榮樂街151-199號,竹東鎮,880,20.03,1-1/6,32.8,43.940,有車位
55,竹科俠客綠意盎然邊間兩室+平車~近園區、清交大,,新竹市東區高翠路051-099號,東區,1027,83.52,5-5/6,19,21.820,有車位/含車位11.320坪
56,竹科正核心｜下班到家比泡麵還快｜高感度社區別墅,,新竹市東區安康街6巷001-049號,東區,2060,56.12,1-2/2,37.8,36.710,無車位
57,台元科技園區AI新創廠辦(一),,新竹縣竹北市惟馨街051-099號,竹北市,6088,36.73,1-1/13,8.7,214.040,有車位/含車位64.630坪
58,市府黃金地段整棟商辦,,新竹市北區中正路151-199號,北區,16000,16.27,1-11/11,27,983.590,有車位
59,竹北新工五路｜四房＋雙平面大車位,,新竹縣竹北市新工五路001-049號,竹北市,1370,41.64,5-5/12,17.9,48.960,有車位/含車位19.660坪
60,Sunny Q｜公園宅｜電車友善｜大三房主附27,,新竹縣竹北市新瀧五街001-049號,竹北市,2238,52.23,5-5/15,4.8,50.880,有車位/含車位10.710坪
61,專任【清大心窩】書香氣息樓中樓,,新竹市東區建功二路002-050號,東區,876,70.87,3-3/6,18.5,12.360,無車位
62,專任AI園區旁【公園一號】2房面公園最便宜!,,新竹縣竹北市十興路一段252-300號,竹北市,1630,64.10,5-5/15,7.8,33.530,有車位/含車位10.440坪
63,專任竹北AI園區佳泰世紀城高樓視野戶3房平車,,新竹縣竹北市十興路302-350號,竹北市,2150,44.19,15-15/22,7.5,48.650,有車位
