編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
1,竹科高翠角間店面+46間電梯陽台套房,,新竹市東區高翠路327巷6弄002-050號,東區,6800,54.17,1-4/7,14.7,125.520,無車位
2,全新【幸福雄郡15】虎林成家首購正2房一樓平車,,新竹市香山區虎林街101-149號,香山區,1250,51.81,4-4/5,1.2,27.020,有車位/含車位5.790坪
3,專任三民學區巨城百貨承寬名摩樓中樓附車位,,新竹市東區自由路95巷18弄001-049號,東區,585,43.21,4-4/8,20,13.540,有車位
4,櫻花聚聚馥區邊間美三房平面大車位,,新竹縣竹北市中央路202-250號,竹北市,2168,58.53,4-4/15,1.5,42.000,有車位/含車位7.520坪
5,春福江山近園區樓中樓景觀明亮美套房~有天然瓦斯,,新竹市東區明湖路1050巷102-150號,東區,450,31.47,5-5/5,31.4,14.300,無車位
6,高鐵特區大硯9+1高樓視野質感大三房,,新竹縣竹北市隘口二路002-050號,竹北市,3820,73.87,11-11/13,8.3,58.220,有車位/含車位8.540坪
7,坤山水漾高樓視野加雙車位,,新竹縣竹北市嘉豐十一路二段127巷001-049號,竹北市,4450,52.16,12-12/14,14.8,85.320,有車位
8,惠宇雲品 朝南高樓景觀視野戶大三房+B1雙大平車,,新竹市東區世傑路252-300號,東區,3558,69.55,19-19/21,10.6,65.860,有車位/含車位19.020坪
9,首購首選【美都薪豐】全新落成兩房兩衛,,新竹縣新豐鄉建興路二段337巷001-049號,新豐鄉,985,25.67,7-7/15,1.9,40.060,有車位/含車位7.530坪
10,閱讀台大四改三房 雙車位 近AI智慧園區 大遠百,,新竹縣竹北市勝利七街一段152-200號,竹北市,2250,36.64,5-5/10,23.1,61.410,有車位
11,昌禾沐月大3房｜邊間｜雙平面車位｜AI園區,,新竹縣竹北市勝利六街102-150號,竹北市,3880,49.01,7-7/11,13.8,79.170,有車位
12,竹東熱鬧商圈低總價透天,,新竹縣竹東鎮五豐街3巷25弄002-050號,竹東鎮,470,15.63,1-2/2,未提供,30.080,無車位
13,降價｜關埔絕美主建24坪｜利豐賦居三房改大兩房,,新竹市東區關新北路152-200號,東區,3100,77.73,14-14/14,5.3,49.140,有車位/含車位11.190坪
14,關埔&好市多｜竹科潤隆｜質感三房+平車,,新竹市東區埔頂三路002-050號,東區,2518,66.15,17-17/29,2.8,44.540,有車位/含車位8.740坪
15,專任國賓大悅朝東南高樓美裝潢柱邊大車位戶,,新竹縣竹北市勝利八街一段201-249號,竹北市,1720,54.34,15-15/27,9.8,37.910,有車位/含車位9.020坪
16,六家國中旁印象竹北大四房子母車位,,新竹縣竹北市嘉祥一街51巷002-050號,竹北市,1830,43.04,4-5/5,21.4,42.520,有車位
17,高鐵特區【富宇城心城邑】樹景三房雙平車,,新竹縣竹北市福興東路二段002-050號,竹北市,2428,50.35,1-1/13,10,68.170,有車位/含車位25.910坪
18,竹科蛋黃區絕版電梯超大三房【室內陽台29坪】,,新竹縣竹東鎮中興路四段572巷40弄002-050號,竹東鎮,780,18.11,2-2/6,31.4,43.080,無車位
19,專任～近AI遠百商圈學區房高樓層大三房＋平車,,新竹縣竹北市光明一路001-049號,竹北市,1940,42.36,8-8/10,21.8,49.780,有車位/含車位7.520坪
20,【蓮棧】竹北光明商圈低總價採光套房+前陽台,,新竹縣竹北市光明五街302-350號,竹北市,390,37.79,4-4/8,30.2,10.320,無車位
21,臨台泥重劃區~單層單戶 【幸福十八華廈】,,新竹縣竹東鎮幸福路002-050號,竹東鎮,640,21.03,5-5/5,27.5,30.430,無車位
22,稀有開闊景觀I強勢生活圈I學區宅+車位,,新竹市東區東大路一段52巷001-049號,東區,1278,37.43,11-11/12,29.6,34.140,有車位
23,光明國小東坡居大兩房平車戶,,新竹縣竹北市光明九路001-049號,竹北市,1600,71.11,3-3/8,12.3,35.410,有車位/含車位15.020坪
24,北門街1樓,,新竹市北區北門街102-150號,北區,1380,45.7,1-1/7,40.6,30.200,無車位
25,專任~二重學區高CP華廈,,新竹縣竹東鎮中央路22巷002-050號,竹東鎮,428,16.51,1-1/6,28.6,25.930,無車位
26,湖適居,,新竹縣湖口鄉中興街55巷002-050號,湖口鄉,1190,27.25,3-13/13,0.3,43.670,有車位
27,竹北華興重劃區 皇普雲鼎景觀2房平面車位,,新竹縣竹北市光明六路552-600號,竹北市,1785,47.25,19-19/24,3.5,37.780,有車位
28,縣三 AI園區 南向邊間露臺戶 三房雙平車,,新竹縣竹北市勝利八街一段301-349號,竹北市,2696,64.64,2-2/14,8.4,55.590,有車位/含車位16.200坪
29,大魯閣金雅三房車位超低總價,,新竹市北區湳中街87巷14弄001-049號,北區,850,22.97,4-4/6,27.5,37.010,有車位
30,力天建設新竹國賓巨城六年屋齡美兩房,,新竹市東區中華路二段170巷001-049號,東區,1560,55.23,10-10/11,6.1,31.830,有車位/含車位6.300坪
31,溫馨大三房平車｜稀有大坪數景觀戶｜價好談,,新竹市北區天府路一段501-549號,北區,1033,27.12,9-9/14,17.9,40.410,有車位/含車位7.850坪
32,湖口工業區｜東區程加｜首購低總價三房+車位,,新竹縣湖口鄉新生路101-149號,湖口鄉,730,25.33,1-1/5,8.3,24.180,有車位/含車位1.280坪
33,竹東星巴克、全聯｜公園前超值透天,,新竹縣竹東鎮博愛街002-050號,竹東鎮,930,20.83,1-2/2,60.7,44.650,無車位
34,瑞典綠洲兩房平車|高樓層東園培英竹科X計畫2Q9,,新竹市東區東新路102-150號,東區,1950,54.95,9-9/15,5.5,35.490,有車位
