編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
1,全新高鐵站前【奇磊】聯發科生醫台大大套房平車,寶佳奇磊,新竹縣竹北市高鐵東二路052-100號,竹北市,1920,85.42,4-4/14,3年,29.87,有車位/含車位9.970坪
2,閑谷莊園生態別墅,,新竹市香山區閑谷二街30巷001-049號,香山區,4320,24.62,1-3/3,14.1年,175.47,有車位
3,專任~湖口士林電機旁農+建大院子別墅,,新竹縣湖口鄉三元路二段62巷32弄001-049號,湖口鄉,1650,28.51,1-4/4,13.3年,57.88,無車位
4,縣府/光明國小『大任凱悅』視野樓中樓,大任凱悅,新竹縣竹北市縣政七街001-049號,竹北市,647,64.51,5-5/7,20.6年,10.03,無車位
5,興時代超美兩房-無限風景收藏品,興築興時代,新竹縣竹北市北新一街001-049號,竹北市,1880,60.6,23-23/24,5.5年,37.45,有車位/含車位8.900坪
6,專任【御美學】成功學區．外棟高樓視野美宅,御美學/拾樂,新竹縣竹北市成功八路152-200號,竹北市,2150,49.94,16-16/19,14.5年,46.65,有車位/含車位6.600坪
7,新埔【禾建築】超鄰近竹北面寬5.4米臨路別墅,昌禾禾建築甲區,新竹縣新埔鎮文山六街001-049號,新埔鎮,2815,43.39,1-4/4,5.4年,64.87,無車位
8,縣三【富宇雙學苑】舒適綠景四房+平面車位,富宇雙學苑,新竹縣竹北市勝利八街一段351-399號,竹北市,3508,70.27,9-9/29,8.1年,55.34,有車位/含車位7.550坪
9,十里靜安四房高樓,十里靜安,新竹市東區龍山東路252-300號,東區,3950,44.8,15-25/25,13.9年,88.17,有車位
10,虎林國中臨路傳家賺錢店面｜無土地無保登,,新竹市香山區延平路二段001-049號,香山區,138,17.34,1-1/1,未標明,7.96,無車位
11,【煙波行館】次頂樓採光非常好，最靜棟別,煙波行館,新竹市北區天府路一段451-499號,北區,920,25.19,13-13/14,18.1年,34.03,有車位/含車位3.470坪
12,晶鑽一墅恆久遠-世代永流傳,王喬晶鑽NO8,新竹市北區南勢二街27巷001-049號,北區,2835,40.59,1-5/5,8.6年,69.84,有車位
13,寶山S6店面 興合力星碩豐韻,豐韻,新竹縣寶山鄉明湖路051-099號,寶山鄉,1800,52.35,1-1/7,0.5年,41.76,有車位/含車位10.240坪
14,寬樸無限視野戶大四房,寬樸,新竹縣竹北市縣政二路南段101-149號,竹北市,3900,53.02,5-5/13,13.6年,77.5,有車位/含車位6.770坪
15,笠爾富知幸福】綠獅重劃區核心】近竹北×竹科×高鐵,笠爾富知幸福,新竹縣芎林鄉綠獅一街126巷001-049號,芎林鄉,2680,36.2,1-5/5,5.7年,74.04,無車位
16,低總價香山採光重疊別墅,,新竹市香山區富群街85巷16弄051-099號,香山區,1270,37.04,1-2/2,28.3年,34.29,有車位
17,竹科主人NO.1 | 雙站直達．園區菁英首選宅,竹科主人NO1,新竹縣竹東鎮竹中路180巷001-049號,竹東鎮,2388,43.97,3-3/14,9.4年,54.31,有車位
18,食品路投資首選近體育館假日花市,,新竹市東區食品路001-049號,東區,750,31.85,9-9/9,28.4年,23.55,無車位
19,關西高中旁美居景森朝南高樓景觀三房,美居景森,新竹縣關西鎮中山東路002-050號,關西鎮,1270,24.95,13-13/15,8.5年,58.69,有車位/含車位13.800坪
