編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
20,文化中心美套房,,新竹市北區水田街002-050號,北區,313,33.8,6-6/6,34.5年,9.26,無車位
21,寶睿博苑視野戶2+1房平車鼎天美宅,寶睿博苑,新竹市東區介壽一路66巷002-050號,東區,2688,59.87,20-20/20,2.9年,44.9,有車位
22,新湖有約｜飯店式管理挑高美套房,新湖有約,新竹縣湖口鄉中山路一段102-150號,湖口鄉,360,30.13,5-5/6,19.3年,11.95,無車位
23,【專】大庄香北全聯商圈|超值大地坪透天,,新竹市香山區美森街051-099號,香山區,870,29.84,1-2/2,50.4年,29.16,無車位
24,專任新竹大遠百精華區穩賺黃金店面,,新竹市北區城北街002-050號,北區,1999,57.81,1-2/2,未標明,34.58,無車位
25,[八大學區]1房1廳學區宅 超低總價,,新竹市東區園後街89巷3弄002-050號,東區,500,25.91,4-4/5,41.6年,19.3,無車位
26,鴻柏鴻上｜全新大坪數3+1房平車,鴻柏鴻上,新竹市東區民族路202-250號,東區,3610,80.41,8-8/12,0.8年,50.6,有車位/含車位7.570坪
27,專任【大硯五五侘】朝南面文興綠園道無限視野+3車,大硯五五侘,新竹縣竹北市成功十一街052-100號,竹北市,5500,76.05,11-11/12,9.6年,89.88,有車位/含車位23.480坪
28,專任近園區超值低總價三房平車首購宅,新銳天廈,新竹市東區光復路一段30巷1弄001-049號,東區,990,28.46,3-3/6,32.8年,34.78,有車位
29,宏道新竹帝寶9-1區 新竹市門牌透天別墅,新竹帝寶9區1號C棟,新竹市香山區華德福街,香山區,4394,57.85,1-2/2,未標明,75.95,有車位
30,大潤發三房車位首購首選,,新竹市北區國華街72巷001-049號,北區,950,28.13,3-3/6,32.1年,33.77,有車位
31,【專任】湖口工業區青年守則-低總價外棟3房+平車,青年守則,新竹縣湖口鄉汀州街73巷001-049號,湖口鄉,750,21.71,3-3/5,21.4年,34.55,有車位
32,成家不必壓力大~科學巨星美3房+車位,科學巨星,新竹縣竹東鎮三重路002-050號,竹東鎮,820,29.36,7-7/10,33.9年,27.93,有車位
33,光華國中大3房+平車,,新竹市北區湳雅街147巷16弄001-049號,北區,900,18.66,3-3/5,35.1年,48.23,有車位
34,湳雅大魯閣武陵天廈大四房B1平車大平臺,武陵天廈,新竹市北區武陵路252-300號,北區,1535,25.9,4-4/14,29.8年,59.26,有車位
35,關埔特區｜竹科悅揚｜質感裝潢三房B2平車,竹科悅揚,新竹市東區慈濟路151-199號,東區,2730,66.4,8-8/24,5.4年,47.19,有車位/含車位8.330坪
36,湖口中美城｜王爺壟旁三房『室內』一樓平面車位,中美城,新竹縣湖口鄉中正路三段26巷25弄001-049號,湖口鄉,1020,24.14,5-5/9,6.1年,38.67,有車位/含車位2.630坪
37,湖口吳厝重劃區全新大面寬四房雙車透天A1,旭昇璞石2,新竹縣湖口鄉信昌七街001-049號,湖口鄉,2300,30.91,1-4/4,0.5年,74.42,無車位
38,金雅【鴻柏織光】沐浴日光下的質感3房平車,鴻柏織光,新竹市北區金雅路101-149號,北區,1950,54.55,7-7/15,6.1年,43.6,有車位/含車位10.600坪
39,近68~全新整理附裝潢低總價大三房,,新竹縣竹東鎮長春路三段301-349號,竹東鎮,520,15.4,2-2/5,未標明,33.76,無車位
40,專任港南國小大面寬大地坪透天,,新竹市香山區延平路二段738巷27弄002-050號,香山區,782,28.53,1-2/2,44.6年,27.41,無車位
41,竹仁街台元科技大套房,科技雅筑,新竹縣竹北市竹仁街002-050號,竹北市,340,31.19,7-7/7,24年,10.9,無車位
42,巨城湳雅生活圈｜大3房雙平車理想居所｜光華琚,光華琚,新竹市北區光華東一街002-050號,北區,2938,38.98,4-4/10,6.8年,75.38,有車位
43,星都心|高樓層無西曬動線佳 設計感四室+柱邊平車,星都心,新竹縣竹東鎮光明路126巷5弄001-049號,竹東鎮,1900,39.87,10-10/14,7.3年,52.35,有車位/含車位8.460坪
44,星碩豐韻｜次頂樓全新平車三房《鄰近竹科超優新案》,豐韻,新竹縣寶山鄉明湖路051-099號,寶山鄉,1750,50.13,6-6/7,0.5年,42.16,有車位/含車位10.240坪
45,近竹科國雄世紀願景前院停車雙車位別墅稀有釋出,國雄世紀願景/天翠,新竹縣寶山鄉大坪一路001-049號,寶山鄉,2238,36.47,1-4/4,15.4年,61.37,有車位
46,專任 近花市 八大學區首選低總價三房,,新竹市東區園後街002-050號,東區,1100,19.24,7-7/7,31.8年,57.16,有車位
47,【盛竑築硯】王爺壟朝南大三房平車美大樓,盛竑築硯,新竹縣湖口鄉達生八街051-099號,湖口鄉,1470,33.58,5-5/13,1.4年,47.4,有車位/含車位8.090坪
48,椰林大道稀有高樓視野戶3+1房 雙平車,椰林大道,新竹縣竹北市嘉豐南路二段152-200號,竹北市,3980,52.19,9-9/12,18.6年,76.26,有車位
49,【豐邑 Ipark】三房雙車綠園道景觀戶,豐邑i-Park,新竹縣竹北市六家五路二段202-250號,竹北市,2446,52.87,10-10/15,17.1年,60.02,有車位/含車位19.430坪
50,超便宜竹北 華盛頓兩房,竹北華盛頓,新竹縣竹北市中華路302-350號,竹北市,510,21.47,7-7/13,29.9年,23.75,無車位
51,富宇君天下｜高樓景觀次頂樓大三房＋雙車位,富宇高鐵棧/君天下/樂在MY HOUSE,新竹縣竹北市東興路一段352-400號,竹北市,3288,65.42,13-13/14,10年,63.07,有車位/含車位17.400坪
52,墨韻千秋【大有可為】學區宅視野大四房平車,大有可為,新竹縣竹北市勝利二路102-150號,竹北市,2868,46.95,16-16/21,22.1年,61.09,有車位
53,專任高鐵澄水硯四房雙主臥雙車視野戶,澄水硯,新竹縣竹北市嘉豐六路二段001-049號,竹北市,3739,58.88,13-13/15,13.8年,77.57,有車位/含車位19.120坪
54,市區三房,,新竹市北區世界街112巷002-050號,北區,2100,42.25,7-7/7,36.4年,49.7,有車位
55,中華路透天,,新竹縣竹北市中華路126巷3弄002-050號,竹北市,980,31.16,1-2/2,50.1年,31.45,無車位
56,專任藝境滿滿帶財二房室內平面車位,,新竹市東區柴橋路,東區,1152,36.97,4-4/6,未標明,35.49,有車位/含車位8.390坪
57,金山商圈｜米蘭經典｜高坪效舒適採光三房,金山米蘭經典,新竹市東區金山二十街001-049號,東區,2100,39.77,8-8/10,22.6年,52.8,有車位
58,專任｜日光御墅竹北旁百萬匠心裝潢•高坪效超值透天,日光御墅8期,新竹縣新埔鎮文山路犁頭山段632巷002-050號,新埔鎮,2900,42.77,1-5/5,5.5年,67.8,有車位
59,湖口鐵騎路輕屋齡透天有天有地生活便利,幸福臨門,新竹縣湖口鄉鐵騎路186巷001-049號,湖口鄉,1200,30.12,1-3/3,10.8年,39.84,有車位
60,獨家/湖口理享城/社區唯一精緻裝潢/三房柱邊平車,弘峻理享城,新竹縣湖口鄉德和路10巷051-099號,湖口鄉,1120,25.83,6-6/11,1.2年,44.34,有車位/含車位6.790坪
61,【專】竹東東方神起大展鴻圖|超大三房|合法樓中樓,東方新都三期,新竹縣竹東鎮光武街051-099號,竹東鎮,560,12.52,1-2/9,30.1年,44.72,無車位
62,專任.超大兩房.可住可工作室,正群麗園大廈,新竹市東區林森路151-199號,東區,820,26.76,8-8/12,36.4年,30.64,無車位
63,"專任-竹東質感社區型透天,雙車位",觀日,新竹縣竹東鎮至善路186巷001-049號,竹東鎮,1380,21.7,1-4/4,20.7年,63.58,有車位
64,晴空匯4房平車高樓層景觀戶,豐邑晴空匯,新竹市東區慈雲路101-149號,東區,3410,53.01,19-19/28,11.5年,70.54,有車位/含車位9.040坪
65,新竹市｜牡丹凰居．景觀戶採光大三房｜B2連號平車,牡丹凰居凰居區,新竹市北區經國路二段218巷002-050號,北區,3080,48.67,15-15/15,12.1年,74.64,有車位/含車位17.530坪
66,成功學區【時上S】美式風格美美採光三房平車,時上S,新竹縣竹北市科大二街001-049號,竹北市,2312,58.06,4-4/14,11.9年,46.24,有車位/含車位9.000坪
67,獨家~二房價來住透天｜明新重劃區旁｜優質透天厝,,新竹縣新豐鄉坪頂一街95巷001-049號,新豐鄉,1690,29.94,1-4/4,14.1年,56.45,有車位
68,竹益OL次頂樓辦公室格局方正含車位,竹益OL,新竹縣竹北市成功十三街002-050號,竹北市,1468,43.09,9-9/10,11年,41.67,有車位/含車位11.080坪
69,大降價超香~超稀有大魯閣雙面臨路透店,,新竹市北區光華南街101-149號,北區,3000,37.65,1-4/4,37.5年,79.68,無車位
70,富宇東方之星｜高樓視野｜質感美三房雙車,東方之星,新竹縣竹北市嘉興二街001-049號,竹北市,2750,55.68,12-12/14,10.8年,61.01,有車位/含車位17.010坪
71,中正大樓｜景觀邊間平車大三房《近台元、昌益園區》,縣府中正大樓,新竹縣竹北市中正東路371巷001-049號,竹北市,1468,26.73,8-8/12,28.5年,54.91,有車位
72,大鵬新城國宅超美大三房～柱邊大平車,大鵬新城國宅,新竹市北區凌雲街102-150號,北區,1850,32.8,9-9/13,17.2年,56.4,有車位
73,全新落成~低總價近園區 朝南豐韻2+1房平車,豐韻,新竹縣寶山鄉明湖路051-099號,寶山鄉,1360,43.46,3-3/7,0.5年,38.08,有車位/含車位10.240坪
74,椰林閱建築外棟三房平車,閱建築,新竹縣竹北市十興路二段002-050號,竹北市,2780,71.27,6-6/13,1.6年,47.3,有車位/含車位10.400坪
75,紐約首購美兩房+車位,紐約紐約,新竹縣竹北市隘口六街001-049號,竹北市,1098,60.1,4-4/9,18年,18.27,有車位
76,稀有好市多商圈．文心匯．三房配平車釋出,文心匯,新竹市東區慈雲路052-100號,東區,2740,61.64,15-15/29,7.1年,52.02,有車位/含車位10.000坪
77,稀有出售~落雨松第一排『竹科潤隆』三房+平面車位,竹科潤隆,新竹市東區埔頂三路002-050號,東區,2300,58.92,5-5/29,3年,45.23,有車位/含車位8.740坪
78,東區新莊車站豐邑一綻全新三房平車,豐邑一綻,新竹市東區關新路202-250號,東區,2900,75.9,13-13/24,1.4年,46.44,有車位/含車位10.210坪
79,巨城商圈｜離塵不離城錦華街靜謐透天社區,,新竹市東區錦華街60巷1弄002-050號,東區,3588,47.42,1-5/5,20年,75.66,有車位
80,新埔｜水汴頭大地坪金透店《近田新重劃區往竹北近》,,新竹縣新埔鎮新關路五埔段152-200號,新埔鎮,610,18.22,1-4/4,未標明,33.48,無車位
81,專任｜南清大稀有角間透天｜面寬8米3獨立車庫,,新竹市東區南大路634巷42弄002-050號,東區,1660,41.85,1-2/2,44.5年,39.67,有車位
82,雲冠天下平面車位-159號,雲冠天下,新竹市東區中央路355巷002-050號,東區,200,9.16,-2--2/13,23.4年,5.48,有車位/含車位0.020坪
83,新豐首馥，公園首排，崗石豪墅，前庭雙車透天,首馥,新竹縣新豐鄉坪頂三街8巷001-049號,新豐鄉,1842,26.57,1-4/4,11.7年,69.33,無車位
84,竹北【人文天尊】百坪電梯別墅雙車位,人文天尊,新竹縣竹北市新民街176巷002-050號,竹北市,3850,38.41,1-5/5,13.2年,100.24,無車位
