編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
1,全區最便宜~文教新城｜清大商圈正三房,,新竹市東區光復路二段298巷5弄001-049號,東區,1500,35.44,6-6/7,30.7,42.330,無車位
2,新竹之昇．地標級建築．B5-7｜稀有釋出,新竹之昇,新竹市東區食品路【新竹之昇】B5棟7樓,東區,3168,61.23,7-7/30,未提供,59.470,有車位/含車位9.370坪
3,【專】湳雅大魯閣優兩房雙陽台二樓美寓鳳凰城首購佳,,新竹市北區湳雅街126巷21弄002-050號,北區,488,26.93,2-2/5,未提供,18.120,無車位
4,城市裡擁抱綠蔭·露臺寧靜舒適生活｜高峰會3+1房,,新竹縣竹北市光明十八街002-050號,竹北市,2360,46.34,2-2/14,14,55.480,有車位/含車位7.790坪
5,綠樣名園｜鄉村風景觀平車三房《全新翻修近工研院》,,新竹縣竹東鎮員山路402-450號,竹東鎮,1020,25.69,6-6/6,29.9,39.710,有車位
6,專任和發善藝2房平車視野戶,,新竹縣竹東鎮至善路002-050號,竹東鎮,1160,40.74,10-10/14,0.5,33.140,有車位/含車位8.350坪
7,公園旁重劃區【一方湛】全新電梯透天-東南向雙主臥,,新竹縣竹北市新北二街002-050號,竹北市,3195,44.64,1-4/4,2.5,71.570,有車位
8,專任｜未來21~我最便宜|景觀大四房+平車,,新竹市香山區牛埔東路001-049號,香山區,1760,38.49,12-12/15,18.2,52.350,有車位/含車位10.530坪
9,俠客2精美樓中樓平車,,新竹縣竹北市縣政二路051-099號,竹北市,1010,36.94,4-4/10,18.3,27.340,有車位
10,德安家康高樓景觀戶~寬敞舒適大三房,,新竹市北區武陵路002-050號,北區,1966,44.21,15-15/26,17.6,51.290,有車位/含車位10.220坪
11,王爺壟商圈｜湖心森林｜面湖視野戶大三房,,新竹縣湖口鄉中山路一段601-649號,湖口鄉,1428,29.9,12-12/12,6.2,51.350,有車位/含車位8.620坪
12,【陽明山莊】面寬17米創意田字別墅｜超大地坪,,新竹市東區明湖路486巷39弄001-049號,東區,1700,35.54,1-2/2,37.3,47.830,有車位
13,專任 新竹之昇 C棟大3房+平面大車位 高CP值,新竹之昇,新竹市東區食品路【新竹之昇】C2棟7樓,東區,2950,59.18,7-7/30,未提供,57.020,有車位/含車位9.370坪
14,(專任)遠百「豐采520」B22棟挑高商辦平車,豐采520,新竹縣竹北市勝利一路【豐采520】B22棟15樓,竹北市,1228,58.62,15-15/25,未提供,26.900,有車位/含車位8.000坪
15,高鐵站面水圳公園A級商辦,,新竹縣竹北市復興一街251-299號,竹北市,3950,45.73,7-7/16,17.5,99.950,有車位/含車位20.150坪
16,中醫大『大學漾』綠映四房|主建35坪|電動樁車位,,新竹縣竹北市福興一路052-100號,竹北市,2838,46.83,4-4/24,11.7,67.440,有車位/含車位10.050坪
17,新竹關埔區-昌禾世界島--心動視野近園區採光美宅,,新竹市東區慈濟路202-250號,東區,3600,58.1,7-7/23,11.2,61.960,有車位
18,湳雅商圈下一站 金雅區 錦雅苑 田園視野三房平車,,新竹市北區金農路152-200號,北區,2088,44.52,3-3/13,5.9,46.900,有車位
19,專任新竹之昇A棟3+1房面十八尖山,新竹之昇,新竹市東區食品路【新竹之昇】A3棟16樓,東區,3826,67.09,16-16/30,未提供,72.770,有車位/含車位18.730坪
20,近AI台元佳泰世紀城前棟兩房平車,,新竹縣竹北市十興路302-350號,竹北市,1680,55.29,11-11/22,7.5,36.430,有車位/含車位8.760坪
21,王爺壟沐光｜稀有朝東南雙面採光視野兩房,,新竹縣湖口鄉達生八街052-100號,湖口鄉,1030,33.02,9-9/10,1.4,33.910,有車位/含車位7.260坪
22,大鵬新城｜明亮三房平車視野戶《永久超棒遼闊美景》,,新竹市北區凌雲街052-100號,北區,1650,31.51,14-14/14,17,52.370,有車位
23,巨城三民收租美套房,,新竹市東區自由路101-149號,東區,405,38.9,4-4/12,31.4,10.410,無車位
24,黃金地段喜來登旁 質感裝潢 視野大套房,,新竹縣竹北市莊敬六街13號13樓之6,竹北市,825,64.15,13-13/15,20.4,12.860,無車位
25,蒂芬妮時尚精品樓中樓,,新竹市北區中山路201-249號,北區,546,47.77,5-5/10,18.8,11.430,無車位
26,新竹火車站商業大角店,,新竹市東區民族路001-049號,東區,13000,46.36,1-2/12,25.5,280.390,有車位
27,二重明星田字透天,,新竹縣竹東鎮明星路239巷002-050號,竹東鎮,980,28.12,1-2/2,未提供,34.850,無車位
28,專任成功學區《太睿觀》邊間大三房+平車,,新竹縣竹北市成功十一街102-150號,竹北市,2800,61.47,9-9/14,15.2,53.310,有車位/含車位10.200坪
29,竹科新竹之昇A3朝南3+1房雙平車面18尖山,新竹之昇,新竹市東區食品路【新竹之昇】A3棟23樓,東區,3960,67.91,23-23/30,未提供,72.770,有車位/含車位18.730坪
30,專任高鐵蛋黃區【原美館】角間三房視野戶,,新竹縣竹北市六家一路一段102-150號,竹北市,2558,51.08,11-11/15,14.7,50.080,有車位
31,專任大河戀河岸視野高樓層採光2+1房平面車位,,新竹縣竹北市興隆路一段001-049號,竹北市,1770,49.22,15-15/15,13.5,44.160,有車位/含車位11.250坪
32,新鮮貨近星都匯/環宇/星都心【環球市】大棟距四室,,新竹縣竹東鎮光明路126巷87弄002-050號,竹東鎮,1620,36.75,5-5/14,11,48.670,有車位/含車位8.670坪
33,【大景首席】鐵了心要賣∥外棟+三房平車∥屋主急售,,新竹市北區東大路二段602-650號,北區,2060,48.26,7-7/14,1.8,44.810,有車位/含車位5.860坪
34,關埔好市多【竹科潤隆】最超值輕奢裝潢兩房大平車,,新竹市東區埔頂三路002-050號,東區,1850,67.67,5-5/29,2.8,33.860,有車位/含車位8.740坪
35,【專】自由大道三面採光2房平車鄰香山國小,,新竹市香山區中華路四段252-300號,香山區,1456,41.42,3-3/13,10.9,41.810,有車位/含車位10.280坪
36,稀有!關埔區屋齡9年電梯投套高投報約4.5%附車,,新竹市東區光復路一段531巷1弄001-049號,東區,2990,29.56,1-6/6,10.8,101.150,有車位
37,專任!國家藝術園區雙車庫獨棟電梯別墅,,新竹市東區瑞麟路001-049號,東區,3440,23.19,-1-3/3,29.6,148.310,無車位
38,稀有明星重劃區富宇明星綻優質最高CP值三房平車,富宇明星綻,新竹縣新豐鄉明新十街【富宇明星綻】A8棟4樓,新豐鄉,1295,40.83,4-4/9,未提供,37.030,有車位/含車位8.990坪
39,竹北市安興國小【椰林賞】質感視野２+1房附車位,,新竹縣竹北市十興五街052-100號,竹北市,2788,72.31,13-13/14,5.5,46.180,有車位/含車位9.700坪
40,竹東全新景觀二房,,新竹縣竹東鎮至善路002-050號,竹東鎮,1150,34.5,8-8/14,0.5,33.330,有車位
41,南大路透天,,新竹市東區南大路473巷23弄001-049號,東區,1185,38.87,1-2/2,47.7,30.490,無車位
42,三民國中優質大套房,,新竹市東區自由路95巷18弄002-050號,東區,445,32.18,7-7/7,35.2,13.830,無車位
43,中華路大地坪挑高透天店面,,新竹縣竹北市中華路301-349號,竹北市,2250,32.64,-1-2/2,28.6,68.940,無車位
44,牛埔-首購型-透天-4房-可改室內車庫,,新竹市香山區牛埔北路257巷052-100號,香山區,720,13.87,1-3/3,54.3,51.900,無車位
