編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
45,專任-園區客最愛新竹內湖文學苑3房平車美厦,,新竹市香山區內湖路107巷051-099號,香山區,900,24.24,2-5/5,3.1,37.130,有車位
46,自強國中住店,,新竹縣竹東鎮自強路051-099號,竹東鎮,2450,28.38,1-4/4,11.4,86.320,有車位
47,高鐵遠雄鉑悅兩房B1平車位,,新竹縣竹北市嘉豐北路002-050號,竹北市,2150,57.5,8-8/23,6.5,37.390,有車位
48,亞昕【昕見築】3房精品平車美廈,,苗栗縣頭份市公園一街051-099號,頭份市,1200,0,5-5/23,1.2,39.860,有車位/含車位8.900坪
49,【專任】自由大道稀有邊間大兩房平車~全區最便宜,,新竹市香山區中華路四段252-300號,香山區,1260,32.94,3-3/13,10.9,38.250,有車位
50,專任！清大雙星採光好亮三房,,新竹市東區建中一路23巷20號4樓,東區,1200,33.56,4-4/12,31.9,35.760,無車位
51,森林首席｜公園景觀戶｜三改二｜B1雙平面,森林首席,新竹市北區武陵路【森林首席】E棟8樓,北區,2600,51.64,8-8/14,未提供,56.160,有車位/含車位14.140坪
52,全新樣貌零缺點!!八大培英學區最低價!三房加車位,,新竹市東區學府路441巷001-049號,東區,1230,32.91,2-2/5,34.5,37.380,有車位
53,鴻柏【鴻韻】稀有3房視野戶｜獨立雙平車,,新竹市東區東大路一段101-149號,東區,4570,41.24,13-13/19,13.9,110.820,有車位
54,光華湳雅商圈整新三房平車室内30坪,,新竹市北區光華一街002-050號,北區,1500,30.74,7-7/7,36.6,48.790,有車位
55,長春靜巷美透天｜地點超好・前院停車,,新竹縣竹東鎮長春路三段204巷001-049號,竹東鎮,1180,22.8,1-2/2,48.1,51.760,有車位
56,成功學區-天闊-三房平車-非常想賣有喜歡歡迎出價,,新竹縣竹北市成功十五街001-049號,竹北市,2550,51.86,7-7/12,14,49.170,有車位
57,竹北大遠百【台大傳家】精美3+1室平車,,新竹縣竹北市莊敬北路052-100號,竹北市,2000,66.73,3-3/10,21,40.670,有車位/含車位12.950坪
58,竹北-獨家朝南中央公園1室+大車位(京站),,新竹縣竹北市復興一街251-299號,竹北市,1400,58.22,6-6/16,17.5,31.550,有車位/含車位10.080坪
59,香奈兒重疊別墅 三房三衛子母車位可停雙車,,新竹縣竹北市嘉興路338巷3弄20號2樓,竹北市,1500,38.97,2-3/5,21.5,38.490,有車位
