編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
1,專任-星都滙A區大坪數3+1室,,新竹縣竹東鎮旭光一路101-149號,竹東鎮,1758,40.84,4-4/14,2.5,49.200,有車位/含車位9.830坪
2,青禾 2房平車 採光優,,新竹縣竹北市嘉興路338巷002-050號,竹北市,1800,54.04,6-6/12,12.1,41.410,有車位/含車位10.880坪
3,【專】成功學區椰林成功八錄3+1房雙車,,新竹縣竹北市成功八路102-150號,竹北市,3980,51.61,5-5/14,13.6,89.310,有車位/含車位18.010坪
4,新竹之昇大戶,新竹之昇,新竹市東區食品路【新竹之昇】A2棟17樓,東區,4580,68.3,17-17/30,未提供,80.950,有車位/含車位18.730坪
5,風尚高投報5投套~新屋~滿租~地點絕佳,,新竹市東區埔頂二路152-200號,東區,1814,74.07,6-6/6,4.2,24.490,無車位
6,長春帝國CP值1-3樓黃金住店,,新竹縣竹東鎮長春路三段42巷002-050號,竹東鎮,680,17.4,1-3/13,31.2,39.070,無車位
7,湖口後站-學區三房華廈,,新竹縣湖口鄉龍江街001-049號,湖口鄉,580,16.67,3-3/5,33.3,34.790,無車位
8,精美小豪宅,,新竹市北區林森路251-299號,北區,306,36.6,16-16/17,28.9,8.360,無車位
9,湖口成功圓明園三房含車位,,新竹縣湖口鄉國光街35巷002-050號,湖口鄉,665,15.66,6-6/9,31.8,42.470,有車位
10,綠光森林28．新社國小美兩房一樓平面車位,,新竹縣竹北市中正西路219巷001-049號,竹北市,1178,50.19,3-3/7,5.1,27.980,有車位/含車位7.500坪
11,綠光森林28．新社國小高樓成家二改一房美宅,,新竹縣竹北市中正西路219巷001-049號,竹北市,1050,51.14,6-6/7,5.1,20.530,無車位
12,專任｜光華巨城邊間明亮三房美屋,,新竹市北區光華街52巷001-049號,北區,650,28.65,3-3/5,47.8,22.690,無車位
13,學府春秋｜八大學區三房美華廈《優質社區稀有釋出》,,新竹市東區寶山路145巷001-049號,東區,1060,39.76,6-6/8,31.1,26.660,有車位
14,專任新埔田新重劃區｜竹科臻邦美妝視野三房,,新竹縣新埔鎮福德街001-049號,新埔鎮,1620,38.01,7-7/15,2.4,47.040,有車位/含車位8.370坪
15,專任~皇凱四房車位景觀戶近南寮國小,,新竹市北區東大路三段351-399號,北區,835,18.28,4-4/8,30.5,45.670,有車位
16,華興元啟『涓建筑』溪流視野大三房平車,,新竹縣竹北市社崙街001-049號,竹北市,2245,43.58,5-5/15,11.6,51.520,有車位
17,武陵路湳雅大魯閣商圈近68朝南採光通風佳3房健身,,新竹市北區武陵路276巷001-049號,北區,660,20.55,4-4/5,36.6,32.120,無車位
18,專任 大學漾 朝東南 美三房EMS充電友善社區,,新竹縣竹北市福興一路052-100號,竹北市,2250,51.38,10-10/24,11.7,50.940,有車位/含車位10.070坪
19,獨家/湖口工業區/近學區/低總價需整理/孝親透天,,新竹縣湖口鄉勝利路二段45巷3弄001-049號,湖口鄉,520,17.45,1-2/2,40.4,29.800,無車位
20,專任竹北-涓建築 朝南景觀三房,,新竹縣竹北市社崙街001-049號,竹北市,2218,47.55,6-6/15,11.6,51.520,有車位/含車位8.030坪
21,觀璞視野美裝潢大三房加平車,,新竹市東區長春街62巷002-050號,東區,2280,52.07,9-9/13,19.5,43.790,有車位
22,大有可為|主+附近40坪含平車|4改3房景觀戶,,新竹縣竹北市勝利二路102-150號,竹北市,2425,43.45,14-14/21,21.9,60.940,有車位/含車位8.580坪
23,至善重劃區景觀戶,,新竹縣竹東鎮至善路002-050號,竹東鎮,1128,33.84,7-7/14,0.5,33.330,有車位
24,『ＭＭ21』極景邊間/雙車首選/高樓層絕美二房,,新竹市香山區經國路三段92巷002-050號,香山區,1372,48.59,9-9/15,13,40.240,有車位/含車位15.090坪
25,中華大學3投套no21,,新竹市香山區柯湳一街052-100號,香山區,340,19.13,2-2/5,24.8,17.770,無車位
26,昌益麗景大四房,,新竹縣竹東鎮中興路二段260巷001-049號,竹東鎮,850,17.66,1-1/5,26.7,48.140,有車位
