週期,縣市,編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
2026-03-10_03-16,新竹縣,59,竹北新工五路｜四房＋雙平面大車位,,新竹縣竹北市新工五路001-049號,竹北市,1370,41.64,5-5/12,17.9,48.960,有車位/含車位19.660坪
2026-03-10_03-16,新竹縣,60,Sunny Q｜公園宅｜電車友善｜大三房主附27,,新竹縣竹北市新瀧五街001-049號,竹北市,2238,52.23,5-5/15,4.8,50.880,有車位/含車位10.710坪
2026-03-10_03-16,新竹市,61,專任【清大心窩】書香氣息樓中樓,,新竹市東區建功二路002-050號,東區,876,70.87,3-3/6,18.5,12.360,無車位
2026-03-10_03-16,新竹縣,62,專任AI園區旁【公園一號】2房面公園最便宜!,,新竹縣竹北市十興路一段252-300號,竹北市,1630,64.10,5-5/15,7.8,33.530,有車位/含車位10.440坪
2026-03-10_03-16,新竹縣,63,專任竹北AI園區佳泰世紀城高樓視野戶3房平車,,新竹縣竹北市十興路302-350號,竹北市,2150,44.19,15-15/22,7.5,48.650,有車位
2026-05-26_06-01,新竹縣,1,全新高鐵站前【奇磊】聯發科生醫台大大套房平車,寶佳奇磊,新竹縣竹北市高鐵東二路052-100號,竹北市,1920,85.42,4-4/14,3年,29.87,有車位/含車位9.970坪
2026-05-26_06-01,新竹市,2,閑谷莊園生態別墅,,新竹市香山區閑谷二街30巷001-049號,香山區,4320,24.62,1-3/3,14.1年,175.47,有車位
2026-05-26_06-01,新竹縣,3,專任~湖口士林電機旁農+建大院子別墅,,新竹縣湖口鄉三元路二段62巷32弄001-049號,湖口鄉,1650,28.51,1-4/4,13.3年,57.88,無車位
2026-05-26_06-01,新竹縣,4,縣府/光明國小『大任凱悅』視野樓中樓,大任凱悅,新竹縣竹北市縣政七街001-049號,竹北市,647,64.51,5-5/7,20.6年,10.03,無車位
2026-05-26_06-01,新竹縣,5,興時代超美兩房-無限風景收藏品,興築興時代,新竹縣竹北市北新一街001-049號,竹北市,1880,60.6,23-23/24,5.5年,37.45,有車位/含車位8.900坪
2026-05-26_06-01,新竹縣,6,專任【御美學】成功學區．外棟高樓視野美宅,御美學/拾樂,新竹縣竹北市成功八路152-200號,竹北市,2150,49.94,16-16/19,14.5年,46.65,有車位/含車位6.600坪
2026-05-26_06-01,新竹縣,7,新埔【禾建築】超鄰近竹北面寬5.4米臨路別墅,昌禾禾建築甲區,新竹縣新埔鎮文山六街001-049號,新埔鎮,2815,43.39,1-4/4,5.4年,64.87,無車位
2026-05-26_06-01,新竹縣,8,縣三【富宇雙學苑】舒適綠景四房+平面車位,富宇雙學苑,新竹縣竹北市勝利八街一段351-399號,竹北市,3508,70.27,9-9/29,8.1年,55.34,有車位/含車位7.550坪
2026-05-26_06-01,新竹市,9,十里靜安四房高樓,十里靜安,新竹市東區龍山東路252-300號,東區,3950,44.8,15-25/25,13.9年,88.17,有車位
2026-05-26_06-01,新竹市,10,虎林國中臨路傳家賺錢店面｜無土地無保登,,新竹市香山區延平路二段001-049號,香山區,138,17.34,1-1/1,未標明,7.96,無車位
2026-05-26_06-01,新竹市,11,【煙波行館】次頂樓採光非常好，最靜棟別,煙波行館,新竹市北區天府路一段451-499號,北區,920,25.19,13-13/14,18.1年,34.03,有車位/含車位3.470坪
2026-05-26_06-01,新竹市,12,晶鑽一墅恆久遠-世代永流傳,王喬晶鑽NO8,新竹市北區南勢二街27巷001-049號,北區,2835,40.59,1-5/5,8.6年,69.84,有車位
2026-05-26_06-01,新竹縣,13,寶山S6店面 興合力星碩豐韻,豐韻,新竹縣寶山鄉明湖路051-099號,寶山鄉,1800,52.35,1-1/7,0.5年,41.76,有車位/含車位10.240坪
2026-05-26_06-01,新竹縣,14,寬樸無限視野戶大四房,寬樸,新竹縣竹北市縣政二路南段101-149號,竹北市,3900,53.02,5-5/13,13.6年,77.5,有車位/含車位6.770坪
2026-05-26_06-01,新竹縣,15,笠爾富知幸福】綠獅重劃區核心】近竹北×竹科×高鐵,笠爾富知幸福,新竹縣芎林鄉綠獅一街126巷001-049號,芎林鄉,2680,36.2,1-5/5,5.7年,74.04,無車位
2026-05-26_06-01,新竹市,16,低總價香山採光重疊別墅,,新竹市香山區富群街85巷16弄051-099號,香山區,1270,37.04,1-2/2,28.3年,34.29,有車位
2026-05-26_06-01,新竹縣,17,竹科主人NO.1 | 雙站直達．園區菁英首選宅,竹科主人NO1,新竹縣竹東鎮竹中路180巷001-049號,竹東鎮,2388,43.97,3-3/14,9.4年,54.31,有車位
2026-05-26_06-01,新竹市,18,食品路投資首選近體育館假日花市,,新竹市東區食品路001-049號,東區,750,31.85,9-9/9,28.4年,23.55,無車位
2026-05-26_06-01,新竹縣,19,關西高中旁美居景森朝南高樓景觀三房,美居景森,新竹縣關西鎮中山東路002-050號,關西鎮,1270,24.95,13-13/15,8.5年,58.69,有車位/含車位13.800坪
2026-05-26_06-01,新竹市,20,文化中心美套房,,新竹市北區水田街002-050號,北區,313,33.8,6-6/6,34.5年,9.26,無車位
2026-05-26_06-01,新竹市,21,寶睿博苑視野戶2+1房平車鼎天美宅,寶睿博苑,新竹市東區介壽一路66巷002-050號,東區,2688,59.87,20-20/20,2.9年,44.9,有車位
2026-05-26_06-01,新竹縣,22,新湖有約｜飯店式管理挑高美套房,新湖有約,新竹縣湖口鄉中山路一段102-150號,湖口鄉,360,30.13,5-5/6,19.3年,11.95,無車位
2026-05-26_06-01,新竹市,23,【專】大庄香北全聯商圈|超值大地坪透天,,新竹市香山區美森街051-099號,香山區,870,29.84,1-2/2,50.4年,29.16,無車位
2026-05-26_06-01,新竹市,24,專任新竹大遠百精華區穩賺黃金店面,,新竹市北區城北街002-050號,北區,1999,57.81,1-2/2,未標明,34.58,無車位
2026-05-26_06-01,新竹市,25,[八大學區]1房1廳學區宅 超低總價,,新竹市東區園後街89巷3弄002-050號,東區,500,25.91,4-4/5,41.6年,19.3,無車位
2026-05-26_06-01,新竹市,26,鴻柏鴻上｜全新大坪數3+1房平車,鴻柏鴻上,新竹市東區民族路202-250號,東區,3610,80.41,8-8/12,0.8年,50.6,有車位/含車位7.570坪
2026-05-26_06-01,新竹縣,27,專任【大硯五五侘】朝南面文興綠園道無限視野+3車,大硯五五侘,新竹縣竹北市成功十一街052-100號,竹北市,5500,76.05,11-11/12,9.6年,89.88,有車位/含車位23.480坪
2026-05-26_06-01,新竹市,28,專任近園區超值低總價三房平車首購宅,新銳天廈,新竹市東區光復路一段30巷1弄001-049號,東區,990,28.46,3-3/6,32.8年,34.78,有車位
2026-05-26_06-01,新竹市,29,宏道新竹帝寶9-1區 新竹市門牌透天別墅,新竹帝寶9區1號C棟,新竹市香山區華德福街,香山區,4394,57.85,1-2/2,未標明,75.95,有車位
2026-05-26_06-01,新竹市,30,大潤發三房車位首購首選,,新竹市北區國華街72巷001-049號,北區,950,28.13,3-3/6,32.1年,33.77,有車位
2026-05-26_06-01,新竹縣,31,【專任】湖口工業區青年守則-低總價外棟3房+平車,青年守則,新竹縣湖口鄉汀州街73巷001-049號,湖口鄉,750,21.71,3-3/5,21.4年,34.55,有車位
2026-05-26_06-01,新竹縣,32,成家不必壓力大~科學巨星美3房+車位,科學巨星,新竹縣竹東鎮三重路002-050號,竹東鎮,820,29.36,7-7/10,33.9年,27.93,有車位
2026-05-26_06-01,新竹市,33,光華國中大3房+平車,,新竹市北區湳雅街147巷16弄001-049號,北區,900,18.66,3-3/5,35.1年,48.23,有車位
2026-05-26_06-01,新竹市,34,湳雅大魯閣武陵天廈大四房B1平車大平臺,武陵天廈,新竹市北區武陵路252-300號,北區,1535,25.9,4-4/14,29.8年,59.26,有車位
2026-05-26_06-01,新竹市,35,關埔特區｜竹科悅揚｜質感裝潢三房B2平車,竹科悅揚,新竹市東區慈濟路151-199號,東區,2730,66.4,8-8/24,5.4年,47.19,有車位/含車位8.330坪
2026-05-26_06-01,新竹縣,36,湖口中美城｜王爺壟旁三房『室內』一樓平面車位,中美城,新竹縣湖口鄉中正路三段26巷25弄001-049號,湖口鄉,1020,24.14,5-5/9,6.1年,38.67,有車位/含車位2.630坪
2026-05-26_06-01,新竹縣,37,湖口吳厝重劃區全新大面寬四房雙車透天A1,旭昇璞石2,新竹縣湖口鄉信昌七街001-049號,湖口鄉,2300,30.91,1-4/4,0.5年,74.42,無車位
2026-05-26_06-01,新竹市,38,金雅【鴻柏織光】沐浴日光下的質感3房平車,鴻柏織光,新竹市北區金雅路101-149號,北區,1950,54.55,7-7/15,6.1年,43.6,有車位/含車位10.600坪
2026-05-26_06-01,新竹縣,39,近68~全新整理附裝潢低總價大三房,,新竹縣竹東鎮長春路三段301-349號,竹東鎮,520,15.4,2-2/5,未標明,33.76,無車位
2026-05-26_06-01,新竹市,40,專任港南國小大面寬大地坪透天,,新竹市香山區延平路二段738巷27弄002-050號,香山區,782,28.53,1-2/2,44.6年,27.41,無車位
2026-05-26_06-01,新竹縣,41,竹仁街台元科技大套房,科技雅筑,新竹縣竹北市竹仁街002-050號,竹北市,340,31.19,7-7/7,24年,10.9,無車位
2026-05-26_06-01,新竹市,42,巨城湳雅生活圈｜大3房雙平車理想居所｜光華琚,光華琚,新竹市北區光華東一街002-050號,北區,2938,38.98,4-4/10,6.8年,75.38,有車位
2026-05-26_06-01,新竹縣,43,星都心|高樓層無西曬動線佳 設計感四室+柱邊平車,星都心,新竹縣竹東鎮光明路126巷5弄001-049號,竹東鎮,1900,39.87,10-10/14,7.3年,52.35,有車位/含車位8.460坪
2026-05-26_06-01,新竹縣,44,星碩豐韻｜次頂樓全新平車三房《鄰近竹科超優新案》,豐韻,新竹縣寶山鄉明湖路051-099號,寶山鄉,1750,50.13,6-6/7,0.5年,42.16,有車位/含車位10.240坪
2026-05-26_06-01,新竹縣,45,近竹科國雄世紀願景前院停車雙車位別墅稀有釋出,國雄世紀願景/天翠,新竹縣寶山鄉大坪一路001-049號,寶山鄉,2238,36.47,1-4/4,15.4年,61.37,有車位
2026-05-26_06-01,新竹市,46,專任 近花市 八大學區首選低總價三房,,新竹市東區園後街002-050號,東區,1100,19.24,7-7/7,31.8年,57.16,有車位
2026-05-26_06-01,新竹縣,47,【盛竑築硯】王爺壟朝南大三房平車美大樓,盛竑築硯,新竹縣湖口鄉達生八街051-099號,湖口鄉,1470,33.58,5-5/13,1.4年,47.4,有車位/含車位8.090坪
2026-05-26_06-01,新竹縣,48,椰林大道稀有高樓視野戶3+1房 雙平車,椰林大道,新竹縣竹北市嘉豐南路二段152-200號,竹北市,3980,52.19,9-9/12,18.6年,76.26,有車位
2026-05-26_06-01,新竹縣,49,【豐邑 Ipark】三房雙車綠園道景觀戶,豐邑i-Park,新竹縣竹北市六家五路二段202-250號,竹北市,2446,52.87,10-10/15,17.1年,60.02,有車位/含車位19.430坪
2026-05-26_06-01,新竹縣,50,超便宜竹北 華盛頓兩房,竹北華盛頓,新竹縣竹北市中華路302-350號,竹北市,510,21.47,7-7/13,29.9年,23.75,無車位
2026-05-26_06-01,新竹縣,51,富宇君天下｜高樓景觀次頂樓大三房＋雙車位,富宇高鐵棧/君天下/樂在MY HOUSE,新竹縣竹北市東興路一段352-400號,竹北市,3288,65.42,13-13/14,10年,63.07,有車位/含車位17.400坪
2026-05-26_06-01,新竹縣,52,墨韻千秋【大有可為】學區宅視野大四房平車,大有可為,新竹縣竹北市勝利二路102-150號,竹北市,2868,46.95,16-16/21,22.1年,61.09,有車位
2026-05-26_06-01,新竹縣,53,專任高鐵澄水硯四房雙主臥雙車視野戶,澄水硯,新竹縣竹北市嘉豐六路二段001-049號,竹北市,3739,58.88,13-13/15,13.8年,77.57,有車位/含車位19.120坪
2026-05-26_06-01,新竹市,54,市區三房,,新竹市北區世界街112巷002-050號,北區,2100,42.25,7-7/7,36.4年,49.7,有車位
2026-05-26_06-01,新竹縣,55,中華路透天,,新竹縣竹北市中華路126巷3弄002-050號,竹北市,980,31.16,1-2/2,50.1年,31.45,無車位
2026-05-26_06-01,新竹市,56,專任藝境滿滿帶財二房室內平面車位,,新竹市東區柴橋路,東區,1152,36.97,4-4/6,未標明,35.49,有車位/含車位8.390坪
2026-05-26_06-01,新竹市,57,金山商圈｜米蘭經典｜高坪效舒適採光三房,金山米蘭經典,新竹市東區金山二十街001-049號,東區,2100,39.77,8-8/10,22.6年,52.8,有車位
2026-05-26_06-01,新竹縣,58,專任｜日光御墅竹北旁百萬匠心裝潢•高坪效超值透天,日光御墅8期,新竹縣新埔鎮文山路犁頭山段632巷002-050號,新埔鎮,2900,42.77,1-5/5,5.5年,67.8,有車位
2026-05-26_06-01,新竹縣,59,湖口鐵騎路輕屋齡透天有天有地生活便利,幸福臨門,新竹縣湖口鄉鐵騎路186巷001-049號,湖口鄉,1200,30.12,1-3/3,10.8年,39.84,有車位
2026-05-26_06-01,新竹縣,60,獨家/湖口理享城/社區唯一精緻裝潢/三房柱邊平車,弘峻理享城,新竹縣湖口鄉德和路10巷051-099號,湖口鄉,1120,25.83,6-6/11,1.2年,44.34,有車位/含車位6.790坪
2026-05-26_06-01,新竹縣,61,【專】竹東東方神起大展鴻圖|超大三房|合法樓中樓,東方新都三期,新竹縣竹東鎮光武街051-099號,竹東鎮,560,12.52,1-2/9,30.1年,44.72,無車位
2026-05-26_06-01,新竹市,62,專任.超大兩房.可住可工作室,正群麗園大廈,新竹市東區林森路151-199號,東區,820,26.76,8-8/12,36.4年,30.64,無車位
2026-05-26_06-01,新竹縣,63,"專任-竹東質感社區型透天,雙車位",觀日,新竹縣竹東鎮至善路186巷001-049號,竹東鎮,1380,21.7,1-4/4,20.7年,63.58,有車位
2026-05-26_06-01,新竹市,64,晴空匯4房平車高樓層景觀戶,豐邑晴空匯,新竹市東區慈雲路101-149號,東區,3410,53.01,19-19/28,11.5年,70.54,有車位/含車位9.040坪
2026-05-26_06-01,新竹市,65,新竹市｜牡丹凰居．景觀戶採光大三房｜B2連號平車,牡丹凰居凰居區,新竹市北區經國路二段218巷002-050號,北區,3080,48.67,15-15/15,12.1年,74.64,有車位/含車位17.530坪
2026-05-26_06-01,新竹縣,66,成功學區【時上S】美式風格美美採光三房平車,時上S,新竹縣竹北市科大二街001-049號,竹北市,2312,58.06,4-4/14,11.9年,46.24,有車位/含車位9.000坪
2026-05-26_06-01,新竹縣,67,獨家~二房價來住透天｜明新重劃區旁｜優質透天厝,,新竹縣新豐鄉坪頂一街95巷001-049號,新豐鄉,1690,29.94,1-4/4,14.1年,56.45,有車位
2026-05-26_06-01,新竹縣,68,竹益OL次頂樓辦公室格局方正含車位,竹益OL,新竹縣竹北市成功十三街002-050號,竹北市,1468,43.09,9-9/10,11年,41.67,有車位/含車位11.080坪
2026-05-26_06-01,新竹市,69,大降價超香~超稀有大魯閣雙面臨路透店,,新竹市北區光華南街101-149號,北區,3000,37.65,1-4/4,37.5年,79.68,無車位
2026-05-26_06-01,新竹縣,70,富宇東方之星｜高樓視野｜質感美三房雙車,東方之星,新竹縣竹北市嘉興二街001-049號,竹北市,2750,55.68,12-12/14,10.8年,61.01,有車位/含車位17.010坪
2026-05-26_06-01,新竹縣,71,中正大樓｜景觀邊間平車大三房《近台元、昌益園區》,縣府中正大樓,新竹縣竹北市中正東路371巷001-049號,竹北市,1468,26.73,8-8/12,28.5年,54.91,有車位
2026-05-26_06-01,新竹市,72,大鵬新城國宅超美大三房～柱邊大平車,大鵬新城國宅,新竹市北區凌雲街102-150號,北區,1850,32.8,9-9/13,17.2年,56.4,有車位
2026-05-26_06-01,新竹縣,73,全新落成~低總價近園區 朝南豐韻2+1房平車,豐韻,新竹縣寶山鄉明湖路051-099號,寶山鄉,1360,43.46,3-3/7,0.5年,38.08,有車位/含車位10.240坪
2026-05-26_06-01,新竹縣,74,椰林閱建築外棟三房平車,閱建築,新竹縣竹北市十興路二段002-050號,竹北市,2780,71.27,6-6/13,1.6年,47.3,有車位/含車位10.400坪
2026-05-26_06-01,新竹縣,75,紐約首購美兩房+車位,紐約紐約,新竹縣竹北市隘口六街001-049號,竹北市,1098,60.1,4-4/9,18年,18.27,有車位
2026-05-26_06-01,新竹市,76,稀有好市多商圈．文心匯．三房配平車釋出,文心匯,新竹市東區慈雲路052-100號,東區,2740,61.64,15-15/29,7.1年,52.02,有車位/含車位10.000坪
2026-05-26_06-01,新竹市,77,稀有出售~落雨松第一排『竹科潤隆』三房+平面車位,竹科潤隆,新竹市東區埔頂三路002-050號,東區,2300,58.92,5-5/29,3年,45.23,有車位/含車位8.740坪
2026-05-26_06-01,新竹市,78,東區新莊車站豐邑一綻全新三房平車,豐邑一綻,新竹市東區關新路202-250號,東區,2900,75.9,13-13/24,1.4年,46.44,有車位/含車位10.210坪
2026-05-26_06-01,新竹市,79,巨城商圈｜離塵不離城錦華街靜謐透天社區,,新竹市東區錦華街60巷1弄002-050號,東區,3588,47.42,1-5/5,20年,75.66,有車位
2026-05-26_06-01,新竹縣,80,新埔｜水汴頭大地坪金透店《近田新重劃區往竹北近》,,新竹縣新埔鎮新關路五埔段152-200號,新埔鎮,610,18.22,1-4/4,未標明,33.48,無車位
2026-05-26_06-01,新竹市,81,專任｜南清大稀有角間透天｜面寬8米3獨立車庫,,新竹市東區南大路634巷42弄002-050號,東區,1660,41.85,1-2/2,44.5年,39.67,有車位
2026-05-26_06-01,新竹市,82,雲冠天下平面車位-159號,雲冠天下,新竹市東區中央路355巷002-050號,東區,200,9.16,-2--2/13,23.4年,5.48,有車位/含車位0.020坪
2026-05-26_06-01,新竹縣,83,新豐首馥，公園首排，崗石豪墅，前庭雙車透天,首馥,新竹縣新豐鄉坪頂三街8巷001-049號,新豐鄉,1842,26.57,1-4/4,11.7年,69.33,無車位
2026-05-26_06-01,新竹縣,84,竹北【人文天尊】百坪電梯別墅雙車位,人文天尊,新竹縣竹北市新民街176巷002-050號,竹北市,3850,38.41,1-5/5,13.2年,100.24,無車位
2026-06-02_06-08,新竹市,1,湳雅商圈超值明亮三房華廈,,新竹市北區田美三街,北區,435,24.4,6-6/7,31.5年,17.830,無車位
2026-06-02_06-08,新竹市,2,遠百大坪數一層一戶四面採光四房美寓,,新竹市北區興南街25巷2弄,北區,720,18.85,5-5/5,40.3年,38.190,無車位
2026-06-02_06-08,新竹市,3,昌益蒂芬妮遠百旁無限視野美裝潢樓中樓,,新竹市北區中山路,北區,660,52.55,10-10/10,19年,12.560,無車位
2026-06-02_06-08,新竹縣,4,近二重埔國小學區大地坪優質成家透天,,新竹縣竹東鎮中興路三段252巷,竹東鎮,635,11.42,1-3/3,47.4年,55.610,無車位
2026-06-02_06-08,新竹市,5,中山春｜低總價首購三房美寓《近清大南院好地段》,,新竹市北區成德路,北區,525,15.32,4-4/5,35.1年,34.280,無車位
2026-06-02_06-08,新竹市,6,金山街前段商圈優質投資收租滿租四套房,,新竹市東區金山五街,東區,1500,51.53,5-5/5,7.3年,29.110,無車位
2026-06-02_06-08,新竹縣,7,竹北溪州｜董事長 百萬電梯農舍｜近華興 中正西路,,新竹縣竹北市溪州路295巷,竹北市,5700,53.72,1-3/3,14.6年,106.110,無車位
2026-06-02_06-08,新竹市,8,離城不離市｜未來21｜景觀大3房+平車,,新竹市香山區牛埔東路,香山區,1450,35.85,9-9/15,18.4年,46.160,有車位/含車位9.900坪
2026-06-02_06-08,新竹縣,9,遠雄鉑悅 | 高鐵特區科技新貴首選小豪宅,,新竹縣竹北市嘉豐北路,竹北市,1358,69.93,3-3/23,6.7年,19.420,無車位
2026-06-02_06-08,新竹縣,10,專任縣三『禾美』美裝璜衛浴對外窗大2房平車,,新竹縣竹北市嘉興三街,竹北市,1785,53.1,11-11/14,9年,41.050,有車位/含車位10.260坪
2026-06-02_06-08,新竹縣,11,雙溪美透天,,新竹縣寶山鄉雙園路二段425巷,寶山鄉,1050,17.02,-1-3/3,36.2年,61.690,無車位
2026-06-02_06-08,新竹市,12,A區荷蘭村｜3房,,新竹市北區武陵路,北區,1330,38.11,18-22/22,26.1年,34.900,無車位
2026-06-02_06-08,新竹縣,13,急售!光明商圈次頂樓樓中樓四房,,新竹縣竹北市縣政十街,竹北市,985,45.86,7-7/8,31.4年,21.480,無車位
2026-06-02_06-08,新竹縣,14,王爺壟築硯／A棟次高樓景觀戶／全新大２房２衛／,,新竹縣湖口鄉達生八街,湖口鄉,1198,31.74,12-12/13,1.4年,37.740,有車位
2026-06-02_06-08,新竹市,15,【專】三民學區|麗法苑首購低自備二房|巨城商圈,,新竹市東區經國路一段398巷1弄,東區,638,28.8,4-4/8,,22.150,無車位
2026-06-02_06-08,新竹縣,16,近竹科【有謙家園】大地坪4房雙車庫美別墅,,新竹縣寶山鄉寶山路二段299巷2弄,寶山鄉,1888,27.69,1-4/4,1.2年,68.180,有車位
2026-06-02_06-08,新竹縣,17,屋況優「科大賀」高樓採光三房平車,,新竹縣竹北市科大一路,竹北市,2880,58.0,10-10/14,14.8年,55.780,有車位/含車位8.710坪
2026-06-02_06-08,新竹市,18,專任/東大樹林頭大面寬透天/邊間採光佳,,新竹市北區東大路二段742巷1弄,北區,800,25.45,1-2/2,45.8年,31.430,無車位
2026-06-02_06-08,新竹市,19,<擇鄰>精品三房+車位,,新竹市香山區中華路五段648巷,香山區,930,25.3,3-3/8,8.5年,36.760,有車位
2026-06-02_06-08,新竹市,20,【武陵天廈】採光超好大三房! 1分鐘上快速道路!,,新竹市北區武陵路,北區,1250,28.22,14-14/14,29.8年,44.290,有車位
2026-06-02_06-08,新竹縣,21,專任~新豐忠信街便宜農舍,,新竹縣新豐鄉忠信街,新豐鄉,565,32.01,1-1/1,37.7年,17.650,無車位
2026-06-02_06-08,新竹縣,22,遠百商圈~德鑫MOMA~視野美四房雙主臥+雙平車,,新竹縣竹北市光明六路東一段,竹北市,4128,57.9,9-9/23,14.3年,80.010,有車位/含車位11.310坪
2026-06-02_06-08,新竹縣,23,高峰匯,,新竹縣竹北市莊敬北路,竹北市,3550,63.92,15-15/29,6.3年,71.620,有車位/含車位18.430坪
2026-06-02_06-08,新竹市,24,西門國小華廈/北新公園第一排【屋況升級囉】,,新竹市北區北新街,北區,700,30.49,7-7/7,31.9年,22.960,有車位
2026-06-02_06-08,新竹縣,25,專-光明商圈四八行館挑高魔術大空間投資自用兩相宜,,新竹縣竹北市文采街,竹北市,530,61.34,4-4/5,18.5年,8.640,無車位
2026-06-02_06-08,新竹縣,26,二重埔環宇市「住宅」大4房平車｜近工研院,,新竹縣竹東鎮光明路126巷65弄,竹東鎮,2200,40.35,11-11/14,10.9年,59.890,有車位/含車位9.090坪
2026-06-02_06-08,新竹縣,27,專任縣三富宇天空樹公園視野2+1房平車,,新竹縣竹北市十興路一段,竹北市,2930,52.86,6-6/21,7.6年,55.430,有車位
2026-06-02_06-08,新竹市,28,西濱｜旭盛傳家｜臨路質感透店 (A),,新竹市北區西濱路一段,北區,1270,35.87,1-4/4,7.7年,35.410,無車位
2026-06-02_06-08,新竹市,29,經國綠家園｜全新裝潢電梯美兩房《三民巨城商圈！》,,新竹市北區經國路一段315巷4弄,北區,738,42.0,3-3/5,34年,17.570,無車位
2026-06-02_06-08,新竹縣,30,『仁發藏綠』山景田園一卡皮箱入住裝潢美宅,,新竹縣竹北市十興五街,竹北市,2900,63.58,7-7/14,12.3年,52.950,有車位/含車位9.700坪
2026-06-02_06-08,新竹縣,31,高鐵區【澄水硯】四房高樓邊間採光子母車位,,新竹縣竹北市嘉豐六路二段,竹北市,3220,60.88,14-14/15,13.8年,59.990,有車位/含車位9.560坪
2026-06-02_06-08,新竹縣,32,蘋果學苑｜典藏邊間平車大四房《鄰近台元科技園區》,,新竹縣竹北市文化街16巷,竹北市,1775,37.18,4-4/13,21年,53.060,有車位/含車位9.350坪
2026-06-02_06-08,新竹市,33,興傳兩房高樓層採光視野佳,,新竹市北區北大路,北區,2180,64.38,23-23/27,7.8年,40.520,有車位/含車位8.990坪
2026-06-02_06-08,新竹縣,34,獨家代理~近園區【星都匯】面中庭超值二室平面車位,,新竹縣竹東鎮旭光一路,竹東鎮,1315,48.08,4-4/14,2.7年,34.060,有車位/含車位9.830坪
2026-06-02_06-08,新竹市,35,竹南園區低總價電梯二房,,新竹市香山區中華路六段799巷8弄,香山區,440,15.75,2-2/11,29年,27.930,無車位
2026-06-02_06-08,新竹市,36,八大學區.麗池公園.昌益<回建築>透天金店面 A,,新竹市東區南大路,東區,3050,46.07,1-3/3,12年,66.200,無車位
2026-06-02_06-08,新竹市,37,專任！孟竹三樓好屋況三房,,新竹市東區建功一路51巷,東區,980,42.68,3-3/5,43年,22.960,無車位
2026-06-02_06-08,新竹市,38,王喬雙橡園｜無限視野雙平車四房《稀有絕版釋出！》,,新竹市香山區頂埔路,香山區,2835,59.64,9-9/13,2年,63.060,有車位/含車位18.040坪
2026-06-02_06-08,新竹縣,39,專任─下公館活巷邊間美透天,,新竹縣竹東鎮安東路45巷,竹東鎮,870,33.32,1-4/4,48.7年,26.110,無車位
2026-06-02_06-08,新竹縣,40,【雙溪國小】首購竹科｜稀有低總價｜三房含平車,,新竹縣寶山鄉雙豐路,寶山鄉,712,21.21,2-2/5,34.6年,33.570,有車位
2026-06-02_06-08,新竹市,41,巨城芙洛麗店面,,新竹市東區民族路,東區,3130,34.66,-1-3/3,48.3年,90.300,無車位
2026-06-02_06-08,新竹市,42,西門國小旁｜延平路整新電梯透天,,新竹市北區延平路一段138巷,北區,1750,52.57,1-4/4,50.2年,33.290,無車位
2026-06-02_06-08,新竹縣,43,專任-竹北站前博愛街金雞母8投套,,新竹縣竹北市博愛街473巷17弄,竹北市,850,25.38,1-2/2,,33.490,無車位
2026-06-02_06-08,新竹縣,44,專任湖口青年守則採光三房,,新竹縣湖口鄉汀州街73巷,湖口鄉,680,21.79,6-6/6,21.5年,31.210,無車位
2026-06-02_06-08,新竹市,45,近竹科園區~18間電梯投套,,新竹市東區高翠路327巷2弄,東區,3250,26.81,1-4/4,18.5年,121.230,無車位
2026-06-02_06-08,新竹市,46,南勢延平景觀田型透天(現況2米路),,新竹市北區延平路一段357巷28弄,北區,980,24.17,1-2/2,45.7年,40.550,無車位
2026-06-02_06-08,新竹市,47,光埔重劃區/富春居朝南戶+平面車位,,新竹市東區埔頂一路,東區,1530,70.88,6-6/21,6.1年,32.540,有車位/含車位13.070坪
2026-06-02_06-08,新竹市,48,近園區 金山社區米蘭經典採光明亮三房+平車,,新竹市東區金山二十街,東區,1838,36.26,3-3/10,22.6年,50.690,有車位
2026-06-02_06-08,新竹縣,49,夏木漱石歐式邊間別墅,,新竹縣竹東鎮中興路一段58巷2弄,竹東鎮,1350,15.15,1-4/4,25.7年,89.130,有車位
2026-06-02_06-08,新竹縣,50,嘉年華~超值車庫透天,,新竹縣竹東鎮生產街78巷,竹東鎮,936,18.78,1-4/4,28.7年,49.840,無車位
2026-06-02_06-08,新竹市,51,專任巨城三民昌益綠光大坪數景觀大樓雙車位,,新竹市東區鐵道路一段28巷,東區,3038,50.67,5-5/14,14.9年,64.080,有車位/含車位10.050坪
2026-06-02_06-08,新竹市,52,水漾經國穩定收租小資樓中樓美套房,,新竹市北區經國路二段195巷,北區,396,26.12,5-5/7,13.1年,15.160,無車位
2026-06-02_06-08,新竹市,53,北區興傳高樓視野百萬美裝潢大三房,,新竹市北區北大路,北區,2788,57.57,19-19/27,7.8年,54.810,有車位/含車位8.990坪
2026-06-02_06-08,新竹縣,54,專任高鐵優創客兩房平面車位雙衛浴,,新竹縣竹北市日興一街,竹北市,1958,61.23,12-12/12,3.9年,40.820,有車位/含車位11.290坪
2026-06-02_06-08,新竹市,55,盛峰厝內｜大庄景觀平車三改大二房《雙衛浴皆開窗》,,新竹市香山區中華路五段323巷,香山區,1080,38.05,4-4/5,4.1年,28.380,有車位
