編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
1,高鐵區『優創客』朝南採光～智能大三房＋平車,,新竹縣竹北市日興一街001-049號,竹北市,2600,63.58,7-7/14,3.7,49.820,有車位/含車位11.290坪
2,擴大經營台積電罩大家庭就住「天闊」,,新竹縣寶山鄉湳坑二街002-050號,寶山鄉,1056,17.8,1-5/5,28.2,59.340,有車位
3,獨家專任~超稀有八大學區絕美小豪宅~衛浴開窗,,新竹市東區東南街239巷1號,東區,450,42.1,1-1/7,34.7,10.690,無車位
4,上館學區｜現代名門｜低總價超值兩房,,新竹縣竹東鎮中豐路三段102-150號,竹東鎮,508,19.91,1-1/12,30.7,25.510,無車位
5,新竹之昇八大學區朝南大三房,新竹之昇,新竹市東區食品路【新竹之昇】B5棟3樓,東區,3050,58.88,3-3/30,未提供,59.960,有車位/含車位9.870坪
6,上品院朝南面山精品3+1房雙平車視野戶,,新竹市東區中華路二段201-249號,東區,3000,51.62,16-16/18,12.8,69.090,有車位/含車位16.790坪
7,港南國小｜大面寬大地坪透天厝《低總價買到透天厝》,,新竹市香山區海埔路131巷051-099號,香山區,780,82.11,1-2/2,31.6,9.500,無車位
8,香山美三房+車位,,新竹市香山區中華路五段323巷001-049號,香山區,1125,43.34,4-4/5,3.9,25.960,有車位
9,竹東臻研箴藏綠意視野大3房B1汽車平面車位,,新竹縣竹東鎮長春路一段201-249號,竹東鎮,1830,39.3,8-8/13,11.5,51.750,有車位/含車位9.010坪
10,勝利中正學區｜興希望正三房朝南戶｜平車,,新竹縣竹北市北新一街002-050號,竹北市,2200,47.93,5-5/24,7,51.290,有車位/含車位8.520坪
11,專任!成功學區大遠百商圈椰林首璽大四房雙車,,新竹縣竹北市成功一街002-050號,竹北市,3858,51.58,7-7/12,18.2,94.120,有車位/含車位25.140坪
12,上德逸『全新』挑高7米店面＋平面車位｜低於實登,,新竹縣竹北市十興路一段396號,竹北市,2783,78.79,1-1/20,1.3,43.980,有車位/含車位11.200坪
13,湖口東區福德堡三房+車位,,新竹縣湖口鄉吉祥街82巷002-050號,湖口鄉,696,27.25,2-2/5,11.2,25.540,有車位
14,遠雄新時代高樓層二房+平面車位,,新竹縣竹東鎮龍鳳路002-050號,竹東鎮,1500,47.56,10-10/15,5,37.630,有車位/含車位9.250坪
15,【皇昱京都】稀有縣府特區三面採光五房生活機能優,,新竹縣竹北市縣政五街32巷002-050號,竹北市,1150,26.18,7-7/8,32,43.920,無車位
16,大鵬新城明亮高樓大4房,,新竹市北區凌雲街002-050號,北區,2020,32.93,13-13/13,17,61.350,有車位
17,專任縣三國賓大悅高樓層美裝大兩房+平車,,新竹縣竹北市勝利八街一段201-249號,竹北市,1518,47.5,12-12/27,9.8,37.820,有車位/含車位9.020坪
18,【京燕】時尚小豪宅｜無限視野美裝速度件,,新竹縣竹北市光明九路152-200號,竹北市,677,63.57,9-9/11,17.1,10.650,無車位
19,縣三優質大三房雙平車稀有釋出,,新竹縣竹北市莊敬三路352-400號,竹北市,4250,52.15,3-3/19,0.5,81.500,有車位
20,富宇大宅天景綠景第一排5房3車位,,新竹縣竹北市興隆路二段051-099號,竹北市,7000,43.64,14-14/25,13.2,160.420,有車位
21,香山國小成家2房,,新竹市香山區東華路002-050號,香山區,700,34.08,6-6/12,31.7,20.540,無車位
22,遠百AI縣三【巨人】高樓採光美兩房+平車,,新竹縣竹北市勝利十一路252-300號,竹北市,1580,51.21,18-18/23,9.4,37.010,有車位/含車位9.090坪
23,【專任】國賓大悅｜面山景大兩房｜柱邊大車位,,新竹縣竹北市勝利八街一段201-249號,竹北市,1838,58.77,27-27/27,9.8,37.740,有車位/含車位9.020坪
24,近 AI 園區｜低總價美透天｜生活機能成熟,,新竹縣竹北市仁義路16巷001-049號,竹北市,1225,49.2,1-4/4,51.4,24.900,無車位
25,映樸川高樓層優質3+1房+平車,,新竹縣竹北市環北路一段107巷001-049號,竹北市,2560,39.34,15-15/15,13.6,65.080,有車位
26,【專】二重埔環球市稀有朝南視野戶3室平車,,新竹縣竹東鎮光明路126巷051-099號,竹東鎮,1795,43.27,8-8/14,11,46.680,有車位/含車位8.670坪
27,全新臻研臻心視野三房+平車,,新竹縣竹東鎮東峰路252-300號,竹東鎮,1385,35.38,9-9/11,0.9,44.320,有車位/含車位9.420坪
28,高鐵河岸朝南君廈B(現況打通)雙車位,,新竹縣竹北市興隆路三段301-349號,竹北市,3500,50.81,11-11/14,18.4,84.300,有車位/含車位21.330坪
29,稀有秒殺真愛城堡景觀3+1房平車,,新竹市香山區經國路三段73巷001-049號,香山區,1150,29.72,6-6/7,26.2,38.700,有車位
30,弘峻理享城四改大三房視野戶,,新竹縣湖口鄉德和路10巷051-099號,湖口鄉,1020,21.24,6-6/11,1,48.030,有車位
31,專任首購高鐵區挑高三室可停休旅車,,新竹縣竹北市隘口六街001-049號,竹北市,1100,62.58,1-1/9,17.8,17.950,有車位/含車位2.770坪
32,[專任] 竹東溫馨明亮三改二房/稀有平面大車位,,新竹縣竹東鎮幸福路121巷002-050號,竹東鎮,857,20.15,13-13/13,32.1,42.530,有車位
33,專任低總價四房近園區電梯樓中樓,,新竹市東區明湖路1050巷102-150號,東區,670,23.89,4-4/5,31.4,28.040,無車位
34,竹東住店優質透天,,新竹縣竹東鎮北興路二段152-200號,竹東鎮,1300,31.68,1-3/3,未提供,41.030,無車位
35,Ur夢想市 視野高樓層三房 大坪數雙車位,,新竹市東區立鵬路102-150號,東區,3900,54.39,18-18/25,11.4,71.710,有車位
36,專任三民巨城商圈大三房三衛浴一樓美寓＋地下室,,新竹市東區民族路113巷2弄001-049號,東區,1030,29.27,-1-1/4,49.5,35.190,無車位
37,巨城景觀無敵超大視野辦公室+車位,,新竹市東區民生路251-299號,東區,720,23.06,8-8/13,29.3,31.220,有車位
38,【專】星都匯A區朝南三室輕裝高樓層B2平車星都滙,,新竹縣竹東鎮旭光一路101-149號,竹東鎮,1785,44.81,9-9/14,2.5,46.310,有車位/含車位9.830坪
